time,time,open,low,high,close,1 period ATR,Short.,Long.,enter_long,exit_long,enter_short,exit_short
2023-10-10 23:00:00+08:00,1696950000,2.266,2.228,2.295,2.262,0.06699999999999973,,,0,0,0,0
2023-10-11 00:00:00+08:00,1696953600,2.262,2.079,2.262,2.183,0.18299999999999983,,,0,0,0,0
2023-10-11 01:00:00+08:00,1696957200,2.183,2.126,2.199,2.185,0.07299999999999995,,,0,0,0,0
2023-10-11 02:00:00+08:00,1696960800,2.185,2.162,2.742,2.456,0.5800000000000001,,,0,0,0,0
2023-10-11 03:00:00+08:00,1696964400,2.456,2.43,2.784,2.686,0.35399999999999965,,,0,0,0,0
2023-10-11 04:00:00+08:00,1696968000,2.686,2.55,2.76,2.646,0.20999999999999996,,,0,0,0,0
2023-10-11 05:00:00+08:00,1696971600,2.646,2.574,2.74,2.612,0.16600000000000037,,,0,0,0,0
2023-10-11 06:00:00+08:00,1696975200,2.612,2.41,2.659,2.514,0.24899999999999967,,,0,0,0,0
2023-10-11 07:00:00+08:00,1696978800,2.514,2.5,2.6,2.52,0.10000000000000009,,,0,0,0,0
2023-10-11 08:00:00+08:00,1696982400,2.52,2.438,2.56,2.517,0.12199999999999989,,,0,0,0,0
2023-10-11 09:00:00+08:00,1696986000,2.517,2.276,2.521,2.337,0.2450000000000001,,,0,0,0,0
2023-10-11 10:00:00+08:00,1696989600,2.337,2.297,2.36,2.332,0.06299999999999972,,,0,0,0,0
2023-10-11 11:00:00+08:00,1696993200,2.332,2.238,2.354,2.271,0.1160000000000001,,,0,0,0,0
2023-10-11 12:00:00+08:00,1696996800,2.271,2.271,2.42,2.367,0.14900000000000002,,,0,0,0,0
2023-10-11 13:00:00+08:00,1697000400,2.367,2.357,2.564,2.43,0.20699999999999985,,,0,0,0,0
2023-10-11 14:00:00+08:00,1697004000,2.43,2.43,2.65,2.573,0.21999999999999975,,,0,0,0,0
2023-10-11 15:00:00+08:00,1697007600,2.573,2.511,2.694,2.654,0.18299999999999983,,,0,0,0,0
2023-10-11 16:00:00+08:00,1697011200,2.654,2.534,2.679,2.608,0.14500000000000002,,,0,0,0,0
2023-10-11 17:00:00+08:00,1697014800,2.608,2.535,2.615,2.6,0.08000000000000007,,,0,0,0,0
2023-10-11 18:00:00+08:00,1697018400,2.6,2.48,2.611,2.52,0.13100000000000023,,,0,0,0,0
2023-10-11 19:00:00+08:00,1697022000,2.52,2.36,2.53,2.483,0.16999999999999993,,,0,0,0,0
2023-10-11 20:00:00+08:00,1697025600,2.483,2.397,2.616,2.614,0.2190000000000003,2.7635454545454543,2.2494545454545456,0,0,0,0
2023-10-11 21:00:00+08:00,1697029200,2.614,2.576,2.679,2.603,0.10299999999999976,2.945818181818182,2.309181818181818,0,0,0,0
2023-10-11 22:00:00+08:00,1697032800,2.603,2.562,2.634,2.591,0.07200000000000006,2.9217272727272725,2.2742727272727272,0,0,0,0
2023-10-11 23:00:00+08:00,1697036400,2.591,2.569,2.687,2.609,0.11799999999999988,2.9328181818181815,2.3231818181818182,0,0,0,0
2023-10-12 00:00:00+08:00,1697040000,2.609,2.523,2.72,2.706,0.19700000000000006,2.852,2.3910000000000005,0,0,0,0
2023-10-12 01:00:00+08:00,1697043600,2.706,2.634,2.773,2.691,0.13900000000000023,2.9434545454545455,2.4635454545454545,0,0,0,0
2023-10-12 02:00:00+08:00,1697047200,2.691,2.627,2.716,2.677,0.08900000000000041,2.9254545454545453,2.4175454545454547,0,0,0,0
2023-10-12 03:00:00+08:00,1697050800,2.677,2.659,2.727,2.703,0.06800000000000006,2.9485454545454544,2.4374545454545453,0,0,0,0
2023-10-12 04:00:00+08:00,1697054400,2.703,2.638,2.754,2.676,0.1160000000000001,2.9154545454545455,2.4765454545454544,0,0,0,0
2023-10-12 05:00:00+08:00,1697058000,2.676,2.651,2.687,2.66,0.03600000000000003,2.9226363636363635,2.415363636363636,0,0,0,0
2023-10-12 06:00:00+08:00,1697061600,2.66,2.656,2.694,2.673,0.03799999999999981,2.92,2.4299999999999997,0,0,0,0
2023-10-12 07:00:00+08:00,1697065200,2.673,2.663,2.73,2.725,0.06700000000000017,2.9108181818181817,2.482181818181818,0,0,0,0
2023-10-12 08:00:00+08:00,1697068800,2.725,2.711,2.862,2.749,0.15100000000000025,2.966818181818182,2.606181818181818,0,0,0,0
2023-10-12 09:00:00+08:00,1697072400,2.749,2.749,2.836,2.806,0.08699999999999974,3.0021818181818185,2.5828181818181815,0,0,0,0
2023-10-12 10:00:00+08:00,1697076000,2.806,2.681,2.817,2.742,0.13600000000000012,2.933,2.5650000000000004,0,0,0,0
2023-10-12 11:00:00+08:00,1697079600,2.742,2.675,2.747,2.71,0.07200000000000006,2.9147272727272724,2.5072727272727273,0,0,0,0
2023-10-12 12:00:00+08:00,1697083200,2.71,2.549,2.72,2.675,0.17100000000000026,2.7842727272727275,2.4847272727272727,0,0,0,0
2023-10-12 13:00:00+08:00,1697086800,2.675,2.593,2.68,2.635,0.08700000000000019,2.819545454545455,2.4534545454545453,0,0,0,0
2023-10-12 14:00:00+08:00,1697090400,2.635,2.595,2.698,2.673,0.10299999999999976,2.817727272727273,2.4752727272727273,0,0,0,0
2023-10-12 15:00:00+08:00,1697094000,2.673,2.587,2.679,2.596,0.09199999999999964,2.810818181818182,2.455181818181818,0,0,0,0
2023-10-12 16:00:00+08:00,1697097600,2.596,2.578,2.635,2.6,0.05699999999999994,2.795090909090909,2.417909090909091,0,0,0,0
2023-10-12 17:00:00+08:00,1697101200,2.6,2.579,2.622,2.583,0.042999999999999705,2.7845454545454547,2.4164545454545454,0,0,0,0
2023-10-12 18:00:00+08:00,1697104800,2.583,2.582,2.64,2.609,0.058000000000000274,2.7729090909090908,2.449090909090909,0,0,0,0
2023-10-12 19:00:00+08:00,1697108400,2.609,2.545,2.621,2.575,0.07600000000000007,2.7334545454545456,2.4325454545454543,0,0,0,0
2023-10-12 20:00:00+08:00,1697112000,2.575,2.562,2.6,2.594,0.038000000000000256,2.7473636363636365,2.4146363636363635,0,0,0,0
2023-10-12 21:00:00+08:00,1697115600,2.594,2.57,2.598,2.572,0.028000000000000025,2.747181818181818,2.4208181818181815,0,0,0,0
