,Time,Open,High,Low,Close,Volume,Close time,Quota,Trade,buy_base,buy_quote,Ignore,TT,SMA200,SMA50,SMA5,10d_low,Buy,Sell,Buyprice,Sellprice,RSI,overbrough,oversell
0,1609891200000,33949.53000000,36939.21000000,33288.00000000,36769.36000000,127139.20131000,1609977599999,4431954248.51961439,2591783,63052.91465200,2199632470.22154891,0,2021-01-06,,,,,0,0,36033.9728,36769.36000000,,0,0
1,1609977600000,36769.36000000,40365.00000000,36300.00000000,39432.28000000,132825.70043700,1610063999999,5062569943.38337156,2814686,65055.10713600,2482583239.85649706,0,2021-01-07,,,,,0,0,38643.634399999995,39432.48000000,,0,0
2,1610064000000,39432.48000000,41950.00000000,36500.00000000,40582.81000000,139789.95749900,1610150399999,5568443208.73136537,2925632,67300.15521600,2684975445.97890497,0,2021-01-08,,,,,0,0,39771.1538,40586.96000000,,0,0
3,1610150400000,40586.96000000,41380.00000000,38720.00000000,40088.22000000,75785.97967500,1610236799999,3054779029.16177669,1998156,37007.32190900,1491990705.55169908,0,2021-01-09,,,,,0,0,39286.4556,40088.22000000,,0,0
4,1610236800000,40088.22000000,41350.00000000,35111.11000000,38150.02000000,118209.54450300,1610323199999,4604034729.50707020,2628050,55451.34467300,2160976896.82802737,0,2021-01-10,,,39004.53799999999,,0,0,37387.0196,38150.02000000,,0,0
5,1610323200000,38150.02000000,38264.74000000,30420.00000000,35404.47000000,251156.13828700,1610409599999,8497730017.89850578,4472957,123241.58878200,4171891522.05678609,0,2021-01-11,,,38731.56,,0,0,34696.380600000004,35410.37000000,,0,0
6,1610409600000,35410.37000000,36628.00000000,32531.00000000,34051.24000000,133948.15199600,1610495999999,4651302423.48411635,2674145,65098.31019600,2261732478.83005161,0,2021-01-12,,,37655.352,,0,0,33370.2152,34049.15000000,,0,0
7,1610496000000,34049.15000000,37850.00000000,32380.00000000,37371.38000000,124477.91493800,1610582399999,4322876606.41962586,2514289,63981.03830600,2222872691.37191206,0,2021-01-13,,,37013.066,,0,1,36623.952399999995,37371.38000000,,0,0
8,1610582400000,37371.38000000,40100.00000000,36701.23000000,39144.50000000,102950.38942100,1610668799999,3974826638.14508874,2297466,51264.46709200,1979442593.04999946,0,2021-01-14,,,36824.322,,0,1,38361.61,39145.21000000,,0,0
9,1610668800000,39145.21000000,39747.76000000,34408.00000000,36742.22000000,118300.92091600,1610755199999,4371588898.68163653,2560801,57738.03422000,2133723812.75986223,0,2021-01-15,,,36542.762,34051.24,0,1,36007.3756,36737.43000000,,0,0
10,1610755200000,36737.43000000,37950.00000000,35357.80000000,35994.98000000,86348.43150800,1610841599999,3178840336.14928450,2066363,42420.42373600,1563160122.01133437,0,2021-01-16,,,36660.864,34051.24,0,0,35275.0804,35994.98000000,,0,0
11,1610841600000,35994.98000000,36852.50000000,33850.00000000,35828.61000000,80157.72738400,1610927999999,2843103040.24066405,1860642,39513.63856100,1402648632.85122460,0,2021-01-17,,,37016.338,34051.24,0,0,35112.0378,35824.99000000,,0,0
12,1610928000000,35824.99000000,37469.83000000,34800.00000000,36631.27000000,70698.11875000,1611014399999,2554843260.52439897,1707766,35621.50604800,1289347187.16652892,0,2021-01-18,,,36868.316,34051.24,0,0,35898.6446,36622.46000000,,0,0
