timestamp,value,value_classification,time_until_update,Open,Close,Low,High,Volume,change,RSI,SMA200,SMA50,SMA5,position,fear,greed,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2022-05-21,13,Extreme Fear,,29199.859375,29432.2265625,29027.39453125,29588.869140625,17274840442,,,,,,0,1,0,0,0,,1,0
2022-05-22,14,Extreme Fear,,29432.47265625,30323.72265625,29275.18359375,30425.861328125,21631532270,0.030289794482822652,,,,,0,1,0,0,0,,1,0
2022-05-23,10,Extreme Fear,,30309.396484375,29098.91015625,28975.560546875,30590.5859375,31483454557,-0.04039123144227663,,,,,0,1,0,0,0,,1,0
2022-05-24,12,Extreme Fear,,29101.125,29655.5859375,28786.58984375,29774.35546875,26616506245,0.019130468401079792,,,,,0,1,0,0,0,,1,0
2022-05-25,11,Extreme Fear,,29653.134765625,29562.361328125,29384.94921875,30157.78515625,27525063551,-0.003143576713387941,,,,29614.561328125,0,1,0,0,0,,1,0
2022-05-26,12,Extreme Fear,,29564.77734375,29267.224609375,28261.90625,29834.16015625,36774325352,-0.009983529917456657,,,,29581.5609375,0,1,0,0,0,,1,0
2022-05-27,12,Extreme Fear,,29251.140625,28627.57421875,28326.61328125,29346.943359375,36582005748,-0.02185551924250806,,,,29242.33125,0,1,0,0,0,,1,0
2022-05-28,13,Extreme Fear,,28622.625,28814.900390625,28554.56640625,28814.900390625,35519577634,0.006543557286537771,,,,29185.529296875,0,1,0,0,0,,1,0
2022-05-29,14,Extreme Fear,,29019.8671875,29445.95703125,28841.107421875,29498.009765625,18093886409,0.02190035821988534,,,,29143.603515625,0,1,0,0,0,,1,0
2022-05-30,10,Extreme Fear,,29443.365234375,31726.390625,29303.572265625,31949.630859375,39277993274,0.07744470968730455,,,,29576.409375,0,1,0,0,0,28627.57421875,1,0
2022-05-31,16,Extreme Fear,,31723.865234375,31792.310546875,31286.154296875,32249.86328125,33538210634,0.0020777630413166825,,,,30081.4265625,0,1,0,0,0,28627.57421875,1,0
2022-06-01,17,Extreme Fear,,31792.5546875,29799.080078125,29501.587890625,31957.28515625,41135817341,-0.06269536357891181,,,,30315.727734375,0,1,0,0,0,28627.57421875,1,0
2022-06-02,13,Extreme Fear,,29794.890625,30467.48828125,29652.705078125,30604.734375,29083562061,0.02243049790035867,,,,30646.2453125,0,1,0,0,0,28627.57421875,1,0
2022-06-03,10,Extreme Fear,,30467.806640625,29704.390625,29375.689453125,30633.03515625,26175547452,-0.02504629358369581,,,,30697.93203125,0,1,0,0,0,28627.57421875,1,0
2022-06-04,14,Extreme Fear,,29706.138671875,29832.9140625,29500.005859375,29930.564453125,16588370958,0.004326748833952898,51.922870719111955,,,30319.23671875,0,1,0,0,0,28627.57421875,1,0
